ID CARTO;Adresse;CP;Ville;Opération;Activité précise du locataire;Catégorie activité;Enseigne;LAT_ok;LONG_ok;XY
C40;154 Boulevard Macdonald;75019;Paris;CLAUDE BERNARD;Fabrication de coques de portables;EQUIPEMENT;VOG IMPORT;48.89904938;2.37772214;48.89904938, 2.37772214
C203;16 Esplanade Nathalie Sarraute;75018;Paris;Pajol;exploitation d'un site internet;SERVICES A LA PERSONNE;SUPERPROF;48.88850331;2.36234275;48.88850331, 2.36234275
C163;10 rue Popincourt;75011;Paris;Foncière;Salon de coiffure;SERVICES A LA PERSONNE;CD FASHION PARIS;48.85732921;2.37752139;48.85732921, 2.37752139
C41;154bis Boulevard Mac Donald;75019;Paris;CLAUDE BERNARD;Imprimerie;SERVICES AUX ENTREPRISES;OFFSEC 27;48.89902354;2.3777647;48.89902354, 2.3777647
C105;2 rue des Beaux-Arts/ 14 rue de Seine;75006;Paris;DLH;Galerie d'art;CULTUREL;GALERIE ANNE JULIEN;48.85635381;2.3363269;48.85635381, 2.3363269
C276;66 rue du Cardinal Lemoine;75005;Paris;VQ2;Maison d'édition librairie;CULTUREL;LE BRUIT DU TEMPS;48.84539726;2.34998499;48.84539726, 2.34998499
C263;38/40, rue Popincourt;75011;Paris;VQ1;Vente au détail de produits frais, vins et produits d'épicerie fine;ALIMENTAIRE;LA PETITE CAGETTE;48.85917344;2.37614446;48.85917344, 2.37614446
C254;113 av Daumesnil;75012;Paris;Viaduc des arts;carrelages-céramique;METIERS D'ART;RAIRIES MONTRIEUX;48.84496979;2.38056515;48.84496979, 2.38056515
C325;3 rue de la Fidélité;75010;Paris;VQ2;vente de matériel électrique et dépannage;SERVICES A LA PERSONNE;LES LUMIERES DE L'EST;48.87447981;2.35643557;48.87447981, 2.35643557
C255;115 av Daumesnil;75012;Paris;Viaduc des arts;restauration œuvres d'art;METIERS D'ART;ABACA;48.84490574;2.38069949;48.84490574, 2.38069949
C253;101 av Daumesnil;75012;Paris;Viaduc des arts;création verre soufflé;METIERS D'ART;LA MAISON DU VERRIER;48.8453485;2.37978119;48.8453485, 2.37978119
C1026;1/3 rue Corvetto;75008;Paris;Treilhard;Supérette;ALIMENTAIRE;G20;48.8771;2.3147;48.8771, 2.3147
C213;51 av Daumesnil;75012;Paris;Viaduc des arts;Organisation d'événements;SERVICES A LA PERSONNE;EXPO EVENTS 33;48.84725204;2.37583229;48.84725204, 2.37583229
C32;130 Bis Boulevard Mac Donald;75019;Paris;CLAUDE BERNARD;;VACANT;;48.89911817;2.37999416;48.89911817, 2.37999416
C10;43 Rue Myrha;75018;Paris;CHÂTEAU ROUGE;Librairie-gal.d'art, jouets;EQUIPEMENT;PROSE;48.88695994;2.35275915;48.88695994, 2.35275915
C313;86 rue du Faubourg Saint-Denis;75010;Paris;VQ2;Boucherie, charcuterie, traiteur;ALIMENTAIRE;LA BOUCHERIE GOURMANDE;48.87393204;2.35522335;48.87393204, 2.35522335
C332;22 rue du Château-Landon;75010;Paris;VQ2;;TRAVAUX;;48.88138419;2.36289758;48.88138419, 2.36289758
C133;21 avenue du Maine;75015;Paris;DLH;Espace culturel;CULTUREL;;48.84346101;2.32113358;48.84346101, 2.32113358
C200;12 Esplanade Nathalie sarraute;75018;Paris;Pajol;boulangerie-pâtisserie;ALIMENTAIRE;BOB'S BAKE SHOP;48.88828213;2.36220812;48.88828213, 2.36220812
C132;21 avenue du Maine;75015;Paris;DLH;Galerie d'art œuvres Krajcberg;CULTUREL;ESPACE KRAJCBERG;48.84358568;2.3213479;48.84358568, 2.3213479
C4;52-58 Rue Myrha;75018;Paris;CHÂTEAU ROUGE;service à la personne;SERVICES A LA PERSONNE;CLAIR ET NET;48.88693648;2.35185331;48.88693648, 2.35185331
C338;28 Rue Guy Môquet;75017;Paris;VQ2;Auto-école;SERVICES A LA PERSONNE;EASY PERMIS;48.89186135;2.32225032;48.89186135, 2.32225032
C245;37 av Daumesnil;75012;Paris;Viaduc des arts;Maroquinerie;METIERS D'ART;SERGE AMORUSO;48.84777004;2.37475063;48.84777004, 2.37475063
C239;89 av Daumesnil;75012;Paris;Viaduc des arts;Création graphique, illustration photographique;METIERS D'ART;MILYEUX;48.84572607;2.37899892;48.84572607, 2.37899892
C86;45-47 rue Saint-Paul;75004;Paris;DLH;Vente de souvenirs;EQUIPEMENT;LE CYGNE ROSE;48.85436581;2.3623442199999998;48.85436581, 2.3623442199999998
C345;101 Rue des Moines;75017;Paris;VQ2;Commercialisation et éditions d'éditeurs;CULTUREL;POLLEN DIFFUSION;48.89283943;2.32277112;48.89283943, 2.32277112
C269;28 rue du Général Guilhem;75011;Paris;VQ1;caviste;ALIMENTAIRE;VIN DE BOHÈME;48.86234558;2.37923072;48.86234558, 2.37923072
C231;55 av Daumesnil;75012;Paris;Viaduc des arts;démonstration d'artisans, expos;EQUIPEMENT;L'ATELIER, D'ATELIERS D'ART DE France;48.84712395;2.3760874;48.84712395, 2.3760874
C316;22/24 rue des Vinaigriers;75010;Paris;VQ2;Bureaux de l'Association;SERVICES A LA PERSONNE;COMPAGNONS BATISSEURS ILE DE FRANCE;48.87319953;2.36316911;48.87319953, 2.36316911
